,p,d,m
2965,695,1,14906.21683
2966,695,1,12916.60322
2967,584,1,9844.591851
2968,584,1,13032.6508
2969,695,0,10302.82703
2970,770,1,14929.73177
2971,695,1,9666.00934
2972,859,0,8135.6447
2973,695,1,8655.905206
2974,695,1,14598.52257
2975,584,1,13128.3267
2976,584,1,12863.4121
2977,695,1,11188.4236
2978,584,1,12219.84089
2979,584,1,9063.850387
2980,695,0,10737.33774
2981,584,1,15945.4478
2982,689,1,11366.17121
2983,584,1,10752.01523
2984,770,1,12721.25701
2985,695,0,11177.32493
2986,695,1,14606.48005
2987,584,1,8313.635657
2988,584,1,13269.77223
2989,584,0,9416.152156
2990,770,1,14541.85606
2991,695,0,10999.50617
2992,689,1,12424.51252
2993,695,0,10677.40975
2994,770,0,3779.447722
2995,584,1,11826.01328
2996,695,1,13252.21069
2997,584,1,13377.0313
2998,584,1,12908.03493
2999,666,0,9828.733956
3000,584,1,9031.662253
3001,584,1,15063.62017
3002,584,1,9795.690688
3003,584,1,10728.4717
3004,859,0,8783.866059
3005,695,0,8632.437226
3006,584,1,13798.83963
3007,584,1,8271.901638
3008,695,1,12217.67814
3009,584,1,10858.35656
3010,770,1,11526.27281
3011,695,1,13402.01439
3012,584,1,11134.85204
3013,695,1,15050.93963
3014,695,0,6690.66568
3015,584,1,14183.17537
3016,584,1,9475.288744
3017,584,1,13717.03524
3018,770,0,7750.971603
3019,584,1,7377.665722
3020,584,1,13992.04723
3021,695,0,6937.855858
3022,584,1,12785.30173
3023,666,1,10569.26693
3024,666,1,11515.06015
3025,859,1,11575.72524
3026,584,1,9872.42124
3027,584,1,6807.260541
3028,770,0,9256.974954
3029,584,1,9781.944709
3030,584,1,7027.145517
3031,584,1,11542.04693
3032,695,0,6940.220498
3033,584,1,10487.11254
3034,770,0,10247.71938
3035,584,1,11590.37114
3036,584,1,10070.88943
3037,584,1,13815.73141
3038,584,1,12343.3576
3039,584,1,8586.505107
3040,695,0,9662.141119
3041,584,1,10480.37676
3042,584,1,10109.78796
3043,584,0,7005.578596
3044,584,1,12595.00037
3045,695,1,11887.28703
3046,584,1,10534.78056
3047,584,1,11301.46636
3048,584,1,12845.58954
3049,689,1,10275.26928
3050,695,0,8690.401331
3051,584,1,8474.742792
3052,689,0,10407.84033
3053,695,1,12320.44484
3054,695,0,9522.525062
3055,695,1,10612.90364
3056,695,0,9505.010678
3057,584,0,7759.484827
3058,584,1,12205.10172
3059,695,0,8611.271237
3060,770,0,11554.61934
3061,695,1,11418.40099
3062,695,0,12202.70945
3063,584,1,10807.46692
3064,695,0,7200.363664
3065,584,1,9893.784225
3066,695,0,10097.57002
3067,695,1,9827.442876
3068,666,1,11893.69527
3069,584,1,12675.06876
3070,695,1,10899.1491
3071,695,0,7712.695554
3072,584,1,7991.352996
3073,695,1,10263.34811
3074,770,0,8619.103765
3075,584,1,11274.78695
3076,695,1,11782.14678
3077,584,1,7556.639959
3078,695,0,6023.588447
3079,695,0,9328.569527
3080,695,0,10974.04173
3081,770,0,9667.806515
3082,695,0,10406.43165
3083,584,1,8503.716105
3084,689,1,10783.49057
3085,695,0,6055.926587
3086,584,1,12978.024
3087,666,0,9134.738846
3088,584,1,9548.908905
3089,695,1,15592.50457
3090,770,0,9479.53863
3091,695,0,10489.71158
3092,584,1,9792.715073
3093,695,1,14261.8596
3094,666,1,12794.42344
3095,584,1,12097.79176
3096,584,1,9815.177921
3097,770,0,11032.85113
3098,770,0,10535.1057
3099,695,0,7385.801697
3100,584,0,8068.414541
3101,584,1,10359.66674
3102,584,1,11260.41305
3103,770,0,6758.608569
3104,584,1,12169.94382
3105,695,0,8881.886445
3106,695,0,8841.474023
3107,666,1,9444.558094
3108,584,1,9555.997348
3109,695,0,6368.014414
3110,859,0,10296.68945
3111,695,0,8278.618172
3112,584,1,13657.40044
3113,584,1,7773.127617
3114,666,0,4778.472739
3115,695,0,11309.64615
3116,584,1,5994.007415
3117,584,1,9896.183842
3118,695,0,9615.665407
3119,584,1,11448.54317
3120,584,1,8785.756281
3121,584,1,12334.96156
3122,695,1,12119.71341
3123,584,1,8708.070459
3124,584,1,12265.31631
3125,584,1,12469.79852
3126,695,1,12867.35726
3127,695,0,8562.86611
3128,770,0,8831.918946
3129,695,1,14257.28461
3130,666,1,12867.86176
3131,770,0,11515.59478
3132,666,1,14930.50939
3133,770,0,10229.48795
3134,695,0,8329.705267
3135,770,1,11914.90296
3136,695,1,11729.08917
3137,695,1,12365.56841
3138,695,0,8417.252914
3139,695,1,14861.19745
3140,695,1,9010.820579
3141,770,0,9981.141834
3142,584,1,13479.33926
3143,695,0,7555.220687
3144,695,1,11187.8614
3145,695,0,7673.848619
3146,770,0,7825.253743
3147,584,1,10419.63673
3148,584,0,5810.329717
3149,770,0,8117.463123
3150,584,1,13354.61095
3151,770,0,10876.5502
3152,584,1,11522.68607
3153,859,0,8455.992843
3154,695,1,13818.65617
3155,770,1,9366.621337
3156,695,0,10103.9849
3157,584,1,10084.15284
3158,584,1,12159.00378
3159,584,1,12094.43418
3160,584,0,8820.380233
3161,695,0,11642.46609
3162,584,1,10899.23309
3163,584,1,14508.68745
3164,584,1,10549.92556
3165,666,0,6477.997196
3166,770,0,11009.84885
3167,695,1,10433.47368
3168,584,1,9243.470766
3169,584,1,13788.64227
3170,695,1,13656.93989
3171,695,1,12242.46712
3172,584,1,9361.120481
3173,695,0,6687.489922
3174,695,1,13257.32573
3175,666,1,12284.65382
3176,584,1,12521.39432
3177,666,1,9142.608918
3178,584,1,8382.016354
3179,695,0,4228.629271
3180,584,1,10824.90394
3181,695,1,10643.2849
3182,666,1,7108.482602
3183,695,1,11034.86482
3184,695,1,11877.85257
3185,584,1,14163.95875
3186,695,0,8503.298947
3187,666,1,15395.42395
3188,584,1,13033.60537
3189,770,0,8408.300548
3190,666,0,10613.92408
3191,695,1,12914.50048
3192,584,1,10834.92708
3193,584,1,13772.07398
3194,695,1,12844.93567
3195,695,0,4066.903364
3196,584,1,11922.40822
3197,584,1,13461.42657
3198,695,1,14080.78846
3199,695,0,10703.82255
3200,584,1,13804.44893
3201,695,1,12531.21995
3202,770,0,8174.901108
3203,859,0,11068.8
3204,584,1,6468.232529
3205,666,0,9193.829787
3206,695,1,16517.88369
3207,584,1,10290.46009
3208,695,1,10298.8704
3209,584,1,11051.83035
3210,695,1,11372.24163
3211,584,1,10035.58629
3212,695,1,9023.265689
3213,859,0,14156.12171
3214,695,0,7256.007851
3215,584,1,12660.00321
3216,695,1,13495.2547
3217,689,0,10676.1257
3218,584,1,12154.15663
3219,666,1,11048.53416
3220,584,1,12275.43073
3221,666,1,11449.38594
3222,695,1,12078.46054
3223,695,1,12116.29229
3224,695,1,14749.20985
3225,584,1,9235.079549
3226,584,1,12705.11267
3227,666,1,13470.0761
3228,584,1,11418.60733
3229,584,1,11609.19221
3230,695,1,9692.789394
3231,584,0,7781.029296
3232,770,0,11806.54187
3233,584,1,10777.51494
3234,584,0,8187.852715
3235,584,1,10673.19109
3236,584,1,12298.50678
3237,695,1,12217.76167
3238,584,1,11031.81499
3239,695,1,11601.19546
3240,770,0,8248.273121
3241,584,0,9318.492361
3242,584,0,6339.288477
3243,695,1,13235.9056
3244,859,0,9664.210426
3245,584,1,12197.02262
3246,695,1,14624.95371
3247,584,1,4975.544627
3248,695,1,13094.70431
3249,584,1,14577.46288
3250,770,0,13309.2929
3251,695,1,10490.28612
3252,770,0,11011.85021
3253,666,1,9060.80382
3254,770,0,13283.61341
3255,584,0,8093.93755
3256,584,1,12367.87529
3257,584,0,9658.787493
3258,584,1,14510.68206
3259,770,1,12643.67313
3260,584,1,12166.81845
3261,695,1,11854.39102
3262,584,1,10598.67439
3263,584,1,12674.95018
3264,770,0,9514.016395
3265,770,0,7072.512566
3266,584,1,11706.48142
3267,695,1,13516.05454
3268,695,1,13742.77086
3269,695,1,10812.61005
3270,584,1,12696.04287
3271,584,1,14221.31532
3272,695,1,13434.35754
3273,695,0,12003.21222
3274,584,1,11199.21298
3275,584,1,10612.65838
3276,695,0,7897.014512
3277,584,1,11187.78627
3278,770,0,9697.768134
3279,584,1,10883.59896
3280,584,1,9984.34341
3281,584,1,11398.55783
3282,584,1,15110.26316
3283,584,1,9328.449833
3284,770,0,12134.57381
3285,584,1,12801.34992
3286,584,1,10901.05962
3287,695,1,10814.18799
3288,584,1,9512.32366
3289,584,1,14163.51277
3290,584,1,12311.69775
3291,689,1,12659.42903
3292,770,0,11042.03227
3293,584,1,13328.35068
3294,695,0,5283.909577
3295,695,0,9482.047487
3296,695,1,10077.04956
3297,770,0,11938.52341
3298,695,0,9763.13172
3299,584,1,11679.77584
3300,584,1,11982.02154
3301,584,1,13966.22523
3302,695,1,12928.45226
3303,584,1,8703.428286
3304,770,1,10266.3867
3305,770,0,9526.097622
3306,695,1,9775.91347
3307,695,1,13153.05576
3308,584,1,10970.06383
3309,584,1,12326.56905
3310,666,1,14572.38474
3311,695,0,7153.78267
3312,584,1,9519.048231
3313,584,1,12009.49136
3314,695,1,12661.51462
3315,695,0,10367.10629
3316,666,0,10651.4735
3317,770,1,12439.89419
3318,695,0,8563.741982
3319,695,1,13629.51994
3320,584,0,6701.82762
3321,666,1,14480.50453
3322,584,1,11187.52795
3323,666,1,12280.85475
3324,584,0,5877.053026
3325,584,1,8152.942463
3326,695,0,10552.88217
3327,584,1,7691.006194
3328,584,1,14196.71245
3329,584,1,11602.77708
3330,584,1,10647.24519
3331,770,0,8286.716513
3332,584,1,12370.39048
3333,666,1,13194.21906
3334,584,1,12117.4999
3335,689,1,10323.32886
3336,584,1,10063.77094
3337,584,1,8900.944061
3338,666,1,8573.420012
3339,584,1,8379.966838
3340,695,0,10510.0692
3341,770,0,11423.275
3342,666,0,7193.152525
3343,584,1,14533.01575
3344,584,1,12773.87016
3345,770,0,11187.11507
3346,695,1,14112.84426
3347,584,1,14406.49834
3348,584,0,10087.36114
3349,584,1,12790.24593
3350,584,1,9428.442321
3351,695,1,12478.88998
3352,666,1,11128.30988
3353,770,1,13146.9185
3354,695,0,11672.43789
3355,584,1,9998.605371
3356,584,1,9978.73083
3357,859,0,12666.1428
3358,584,1,10976.23148
3359,695,1,11423.15237
3360,770,0,10928.07186
3361,666,1,11177.996
3362,584,1,12926.45788
3363,584,1,16379.57962
3364,695,0,7421.204823
3365,695,1,12181.44742
3366,859,0,10770.25878
3367,584,1,9424.230119
3368,695,0,9071.513136
3369,584,1,8980.580195
3370,584,1,13725.51817
3371,584,1,12687.17377
3372,584,1,10774.23164
3373,584,0,5554.44891
3374,695,1,8374.830779
3375,689,1,11524.59476
3376,666,0,7769.266328
3377,584,1,13355.03801
3378,770,1,14009.9176
3379,584,1,13074.12428
3380,695,1,11034.82189
3381,584,1,7862.518656
3382,666,1,12430.16956
3383,770,0,8133.452133
3384,584,1,10093.19079
3385,770,1,13448.8432
3386,770,0,13439.42986
3387,770,0,8416.395988
3388,584,1,10127.20506
3389,695,0,9656.965172
3390,584,1,11808.13134
3391,584,1,7276.834638
3392,584,1,7605.974674
3393,859,0,10990.09214
3394,666,1,11842.95439
3395,695,1,14535.77617
3396,689,1,11366.6617
3397,584,1,12811.56015
3398,859,0,7151.143356
3399,695,1,10252.69526
3400,584,1,8648.746559
3401,695,1,13551.74936
3402,584,0,10404.60204
3403,689,0,8983.222809
3404,584,1,10999.55228
3405,584,1,8466.450913
3406,584,1,13904.77499
3407,584,1,11521.56934
3408,584,1,13079.43292
3409,584,1,9116.788664
3410,584,1,8137.282059
3411,666,1,11833.3767
3412,770,0,8761.59392
3413,584,1,12681.7504
3414,770,0,10464.59795
3415,695,1,12766.59996
3416,584,1,13051.1663
3417,666,1,8050.785635
3418,666,0,6531.57064
3419,695,1,12713.15446
3420,584,1,10831.76497
3421,695,0,4148.08982
3422,695,0,9473.151374
3423,666,1,9850.462092
3424,584,1,13610.61672
3425,689,1,10853.55046
3426,584,1,10879.97105
3427,859,0,12285.04436
3428,770,0,12207.92125
3429,584,1,10683.35889
3430,666,0,7435.035165
3431,584,1,12389.66191
3432,689,0,7689.975086
3433,666,1,12346.77788
3434,584,1,12431.31426
3435,584,1,12094.10736
3436,584,0,7475.813594
3437,584,1,14059.12283
3438,695,1,11249.71576
3439,584,1,11072.79555
3440,770,1,15530.03823
3441,859,0,12379.54202
3442,584,1,8516.67568
3443,584,1,15492.63427
3444,770,0,11677.29475
3445,584,1,8089.985055
3446,770,1,15228.68294
3447,584,0,6370.888478
3448,584,1,7480.846906
3449,859,0,14196.37385
3450,770,1,12871.75514
3451,689,1,10660.74492
3452,695,0,6572.70003
3453,584,1,11044.6924
3454,695,0,11394.80493
3455,584,1,9211.523462
3456,770,0,11821.50854
3457,584,1,10542.78319
3458,666,1,15893.87423
3459,666,1,13925.39339
3460,584,1,11404.68401
3461,770,0,9158.231638
3462,584,1,9714.532631
3463,666,1,13334.31306
3464,695,1,11567.78352
3465,695,1,12785.1361
3466,584,1,12816.56835
3467,584,1,11798.53973
3468,584,1,13181.75567
3469,695,0,7560.493153
3470,584,1,11974.84052
3471,695,1,10241.50095
3472,695,1,11168.91546
3473,695,0,8781.66009
3474,584,1,11280.22661
3475,666,1,12586.49231
3476,584,1,10784.43088
3477,695,0,8345.005648
3478,584,1,14623.74369
3479,584,0,6407.957743
3480,695,0,11431.62868
3481,695,0,5025.836318
3482,859,0,7824.460637
3483,584,1,10509.65695
3484,666,1,13966.65629
3485,695,0,10404.82507
3486,770,0,7788.043392
3487,695,1,13370.99018
3488,584,0,8287.28603
3489,695,0,9208.653698
3490,666,0,7783.038675
3491,584,0,7907.854998
3492,666,0,9780.440792
3493,584,0,7620.329613
3494,695,1,12397.05803
3495,584,1,9949.877191
3496,770,0,4116.181055
3497,695,1,12096.25493
3498,584,1,10582.53903
3499,584,1,13327.14318
3500,695,1,9242.014123
3501,584,1,10232.22618
3502,666,1,10662.76755
3503,695,1,12368.20564
3504,584,1,12760.15368
3505,584,1,10701.01959
3506,584,1,12334.07104
3507,695,1,11120.55134
3508,666,1,15169.20193
3509,584,1,9235.837929
3510,584,1,13502.02567
3511,666,1,13096.82153
3512,584,1,14083.30996
3513,689,0,8135.517595
3514,584,0,7090.823919
3515,695,1,9843.535068
3516,584,1,15038.79548
3517,584,1,8169.246964
3518,584,1,12378.27359
3519,584,1,10604.81199
3520,584,0,8328.213116
3521,584,1,8074.846195
3522,695,0,6184.385498
3523,584,1,10748.22159
3524,584,0,6987.069044
3525,695,1,13142.92244
3526,584,1,8630.369259
3527,770,0,8946.142021
3528,695,1,11439.80668
3529,695,0,5192.983484
3530,584,1,10732.57528
3531,584,1,13153.92492
3532,770,0,9710.649691
3533,584,1,14516.13799
3534,584,1,7187.220395
3535,770,1,12098.79228
3536,695,0,7260.711721
3537,584,1,11155.46802
3538,584,1,13667.76851
3539,666,0,9961.05146
3540,666,1,11367.71443
3541,770,1,11775.40073
3542,584,1,12723.41149
3543,770,1,15899.00608
3544,584,1,14293.46781
3545,666,1,9994.814976
3546,695,0,7972.99677
3547,695,0,11103.47121
3548,584,1,9697.648827
3549,695,0,9854.932118
3550,770,1,13408.61477
3551,584,1,8145.759655
3552,695,0,9111.792584
3553,584,1,9878.487959
3554,770,0,8534.095794
3555,584,1,9877.0358
3556,695,0,9150.800926
3557,584,1,8030.626816
3558,584,1,11592.76926
3559,666,0,9538.742079
3560,695,1,11549.49752
3561,584,1,11140.2145
3562,584,1,11207.52553
3563,584,0,6157.85149
3564,666,1,11037.17865
3565,584,1,7147.81808
3566,584,0,6461.725413
3567,584,1,11938.83757
3568,584,1,12941.25496
3569,584,1,8632.301526
3570,770,1,14974.97455
3571,666,1,12862.37963
3572,584,1,8221.745926
3573,666,1,11723.62755
3574,666,0,7161.100405
3575,695,0,8202.014782
3576,584,1,12337.54233
3577,584,0,9093.526762
3578,584,1,13184.31819
3579,695,1,13098.09713
3580,695,1,13415.86765
3581,695,0,10773.1587
3582,584,1,15165.96689
3583,770,0,8963.427706
3584,770,0,6197.931421
3585,584,0,7661.595483
3586,695,0,7255.638368
3587,770,1,12337.49574
3588,695,1,12395.04724
3589,584,1,10690.26296
3590,584,1,6189.193926
3591,584,1,10562.59239
3592,666,0,11603.55962
3593,584,1,10564.72855
3594,666,1,10880.92141
3595,584,0,7671.555409
3596,666,1,12878.62543
3597,695,1,9398.049874
3598,666,1,9822.500025
3599,770,0,9061.60416
3600,770,1,12034.67464
3601,695,0,9207.953774
3602,695,1,13999.6561
3603,584,1,6943.640494
3604,584,1,17086.14867
3605,695,1,13721.10159
3606,695,0,9707.903775
3607,584,1,10021.80424
3608,770,1,14668.40395
3609,584,1,8406.137293
3610,689,1,12595.53357
3611,584,1,8966.534692
3612,584,1,10059.5581
3613,584,1,7493.057041
3614,770,1,14044.35267
3615,695,0,11254.32361
3616,695,1,16895.81644
3617,770,0,10602.92798
3618,584,1,6339.814829
3619,770,0,10450.5391
3620,770,0,7812.501139
3621,770,1,12969.45236
3622,584,1,14215.56387
3623,695,0,10046.13453
3624,584,1,14660.11869
3625,584,1,9738.041678
3626,584,1,12465.08089
3627,695,1,14469.51779
3628,584,1,11476.81514
3629,584,1,13876.04858
3630,584,1,10922.12304
3631,584,0,9170.638436
3632,584,1,10356.61693
3633,584,1,12735.76534
3634,689,1,12812.60779
3635,584,1,12999.16742
3636,770,0,9246.023397
3637,695,1,12513.05754
3638,584,1,13595.21129
3639,695,1,13341.96191
3640,584,1,6992.129429
3641,695,1,10917.48245
3642,695,0,9553.195717
3643,859,0,10644.49785
3644,695,1,10582.56008
3645,584,1,7173.43206
3646,695,1,11979.48554
3647,695,1,11944.7655
3648,695,1,12120.13131
3649,584,1,14331.78825
3650,584,1,7941.223711
3651,859,0,16507.81139
3652,666,1,10745.87756
3653,584,1,14205.22777
3654,584,1,11543.50266
3655,584,1,9212.135511
3656,584,1,7984.777128
3657,584,1,9098.387489
3658,695,1,10051.76886
3659,584,1,10876.21962
3660,666,0,6848.885611
3661,584,1,8634.697958
3662,584,1,8340.639795
3663,584,1,14834.0566
3664,584,1,7126.372257
3665,695,1,12390.76429
3666,695,0,10616.59162
3667,770,0,12907.69393
3668,584,1,8609.133375
3669,695,1,11910.86073
3670,584,1,9256.798795
3671,695,1,13461.27958
3672,859,0,8249.865916
3673,584,1,11325.24524
3674,584,1,9013.005834
3675,584,0,7666.696445
3676,584,1,12855.83291
3677,859,0,9734.221906
3678,695,1,7861.118285
3679,770,0,10182.33372
3680,584,1,10777.43904
3681,695,1,11465.27619
3682,584,1,11075.31761
3683,584,1,11400.62007
3684,695,1,10891.44895
3685,666,1,14393.69376
3686,584,1,8386.713103
3687,695,1,9452.096118
3688,584,1,9417.81068
3689,695,0,10721.45817
3690,584,1,8909.307089
3691,695,1,12517.92762
3692,584,1,14117.28652
3693,770,0,6810.542637
3694,689,1,12502.45774
3695,666,1,12867.03052
3696,695,0,8668.544611
3697,584,1,8411.587686
3698,666,0,7771.73355
3699,695,1,9319.971011
3700,695,0,7655.376845
3701,584,1,12693.4571
3702,695,1,11064.4973
3703,695,0,8161.182777
3704,584,1,11016.28056
3705,584,1,8224.221021
3706,695,1,10631.32712
3707,666,1,12244.82141
3708,584,1,10520.93957
3709,695,0,11120.66403
3710,584,0,7640.462903
3711,666,1,13394.94139
3712,584,1,14030.58136
3713,770,0,10636.57878
3714,770,0,10301.05498
3715,695,0,8630.239726
3716,689,1,12920.11724
3717,859,0,8201.42137
3718,584,1,8566.003271
3719,584,0,11922.15777
3720,584,1,9874.249266
3721,770,1,15965.92137
3722,584,1,13197.8672
3723,584,1,11470.14329
3724,695,0,11048.69713
3725,666,1,14507.6585
3726,695,1,11137.26646
3727,584,1,11479.81847
3728,584,1,13212.80577
3729,584,1,12308.48352
3730,695,1,14203.70795
3731,584,1,10257.3395
3732,695,1,12962.89787
3733,695,1,11692.8394
3734,666,0,12111.48446
3735,695,0,11139.95087
3736,695,1,14373.58577
3737,695,1,17098.15763
3738,584,1,9997.131787
3739,584,1,9148.92211
3740,584,1,15086.72327
3741,584,1,16065.66344
3742,584,1,13743.31713
3743,584,1,8599.055583
3744,695,0,8611.000023
3745,859,0,10894.54002
3746,584,1,10249.27853
3747,584,1,8615.529615
3748,770,0,6464.478552
3749,584,1,12193.989
3750,695,0,7133.022989
3751,770,1,12576.53132
3752,770,0,6806.201879
3753,584,1,13357.02025
3754,770,0,12318.33054
3755,770,0,10998.83235
3756,584,0,10528.442
3757,695,0,8699.918311
3758,584,1,8835.074191
3759,584,1,8319.894586
3760,695,0,6621.281639
3761,695,1,12994.50623
3762,584,1,8314.481578
3763,666,1,13000.73237
3764,584,1,14972.33917
3765,695,0,10129.77543
3766,584,1,9143.595465
3767,695,0,7031.874404
3768,584,1,15537.22704
3769,584,1,7419.646022
3770,584,1,13383.69202
3771,584,1,10886.40934
3772,770,1,11725.45336
3773,666,0,6201.949169
3774,584,1,9101.472664
3775,584,1,14102.06624
3776,695,1,12747.68588
3777,695,0,7520.963368
3778,584,1,10848.5603
3779,584,1,8964.155506
3780,770,0,9516.342684
3781,584,1,8429.89798
3782,859,0,10559.24336
3783,584,1,10859.02799
3784,584,1,11989.93589
3785,666,1,13952.83194
3786,770,1,13628.90103
3787,584,1,10454.3529
3788,695,1,12101.88667
3789,695,0,11624.62298
3790,770,1,15055.59949
3791,770,0,9978.385688
3792,666,0,9335.835939
3793,695,0,10903.4057
3794,584,1,12047.55787
3795,584,1,12250.36035
3796,584,1,15368.69618
3797,666,1,13709.13466
3798,695,0,9943.889802
3799,695,1,11898.39285
3800,584,1,11203.61642
3801,584,1,14076.6342
3802,695,0,9319.9073
3803,695,1,13533.82883
3804,584,1,11140.85756
3805,770,1,12956.32724
3806,695,1,10745.3946
3807,584,1,8290.123562
3808,584,1,9610.7312
3809,695,1,13242.52046
3810,584,1,7242.069071
3811,584,1,13653.66995
3812,584,1,10569.25502
3813,859,0,9827.459433
3814,584,1,8726.27644
3815,695,1,14686.96614
3816,666,0,7575.059997
3817,666,1,12945.83324
3818,584,1,14660.02715
3819,584,0,8279.411306
3820,584,1,12109.66668
3821,584,1,8035.268286
3822,584,1,15908.27906
3823,695,0,10956.18883
3824,584,1,11377.47869
3825,584,1,10343.74989
3826,584,1,15120.81621
3827,584,1,15860.06773
3828,695,1,10205.25436
3829,584,1,13022.52621
3830,584,1,14023.38464
3831,584,1,8411.471086
3832,666,1,14686.55686
3833,695,0,10516.43875
3834,770,0,9426.21342
3835,770,0,10027.36637
3836,695,1,13097.117
3837,584,1,8467.130414
3838,584,1,15340.89452
3839,695,1,14255.89107
3840,695,1,13569.58085
3841,859,0,12868.00033
3842,859,0,12588.00455
3843,695,1,11145.72878
3844,666,1,13072.97352
3845,770,1,12763.23736
3846,666,1,10071.61423
3847,695,0,12255.84259
3848,584,0,7356.065067
3849,695,0,10904.64799
3850,584,1,9009.027288
3851,666,1,13471.02382
3852,584,1,9201.562044
3853,770,0,9846.829016
3854,695,1,13219.72852
3855,584,1,12176.67824
3856,584,0,9367.848198
3857,584,1,12024.6414
3858,666,1,10506.87921
3859,695,1,11107.83563
3860,584,1,9459.613582
3861,584,1,8409.617966
3862,584,1,7574.174766
3863,695,1,11755.18298
3864,695,0,8537.372782
3865,695,1,12353.6173
3866,584,1,13489.69458
3867,584,1,14726.95548
3868,695,1,12815.4151
3869,584,0,8926.977313
3870,584,1,9814.221961
3871,695,1,11927.10946
3872,584,1,7176.780151
3873,770,0,6769.988341
3874,584,1,12168.30933
3875,695,0,9979.395306
3876,584,1,10407.14468
3877,584,1,11154.65161
3878,695,1,12254.27603
3879,584,1,8894.922258
3880,584,1,11701.95818
3881,584,1,12620.21094
3882,584,1,12376.2618
3883,695,0,5262.638744
3884,584,1,11684.71238
3885,584,1,11801.63778
3886,584,1,10180.89629
3887,689,1,13993.79124
3888,584,1,6934.671414
3889,695,1,13026.63273
3890,584,1,10745.75514
3891,666,1,13246.49134
3892,695,0,7811.446358
3893,584,1,10041.73856
3894,695,1,14888.50781
3895,666,1,13360.86409
3896,770,1,13222.29757
3897,584,1,10362.12324
3898,695,0,10359.26966
3899,584,0,7178.432976
3900,695,1,12987.87724
3901,695,0,11343.99654
3902,584,1,10420.98101
3903,770,1,10548.5423
3904,666,0,9122.042925
3905,695,0,10860.32714
3906,666,0,9013.442544
3907,695,0,8359.635805
3908,584,1,9890.318875
3909,584,1,9525.661151
3910,666,0,8808.505775
3911,584,1,12897.28325
3912,695,0,6502.457012
3913,584,1,9531.171583
3914,584,1,13845.59846
3915,584,1,10356.29678
3916,859,0,8363.542046
3917,584,1,9874.376556
3918,770,1,12500.31099
3919,695,1,14474.90506
3920,695,0,10645.88777
3921,695,1,13527.59379
3922,584,1,9169.026222
3923,584,1,10595.41621
3924,695,1,14465.2641
3925,770,1,12817.41075
3926,584,1,12722.2341
3927,666,0,6784.53011
3928,695,1,13597.01448
3929,695,1,12276.84355
3930,584,1,10464.20721
3931,584,1,12969.88324
3932,666,0,7374.357123
3933,695,0,7852.369784
3934,770,1,12567.30289
3935,584,1,12186.37672
3936,584,1,11464.52886
3937,584,1,13560.12955
3938,584,1,14483.96877
3939,770,1,11736.81231
3940,695,1,13594.46254
3941,584,1,11867.18524
3942,584,1,16323.78316
3943,695,0,9613.228584
3944,770,1,9534.764999
3945,695,0,6267.698943
3946,666,1,11526.92474
3947,584,1,13999.52591
3948,666,1,11493.1634
3949,584,1,16397.23575
3950,584,1,10889.63352
3951,584,1,8261.445123
3952,584,1,12501.08976
3953,695,0,7821.188361
3954,584,1,9372.915736
3955,584,1,10354.38652
3956,770,0,9921.077665
3957,859,1,12473.67379
3958,584,1,14065.63085
3959,695,0,10390.4063
3960,695,0,10622.05516
3961,770,1,13313.71197
3962,584,1,15292.55905
3963,770,1,11654.43287
3964,695,1,10561.06281
3965,584,1,10847.33767
3966,584,1,13577.1816
3967,666,0,11021.17749
3968,584,1,10795.24765
3969,695,0,7533.586309
3970,770,1,12583.84222
3971,695,0,9279.159246
3972,695,1,9819.430864
3973,770,0,8626.558335
3974,695,1,14628.37001
3975,584,1,9284.388728
3976,584,1,12032.67056
3977,584,1,11473.9173
3978,695,0,9775.648727
3979,584,1,10625.11345
3980,666,0,6721.838198
3981,584,1,13239.34975
3982,695,1,14738.74436
3983,584,1,8964.102798
3984,695,0,9059.839771
3985,584,1,12005.93908
3986,770,0,10943.59424
3987,770,0,9442.338216
3988,695,0,7452.42582
3989,770,1,11002.55384
3990,666,0,8873.222752
3991,695,0,9616.320702
3992,695,1,13769.62658
3993,770,1,12181.52649
3994,695,0,9150.24126
3995,695,0,9659.050955
3996,584,1,11071.21444
3997,695,1,12030.57315
3998,666,1,8856.324067
3999,584,1,11160.84711
4000,666,1,10016.94616
4001,584,1,13792.50712
4002,695,1,10350.2264
4003,695,1,9779.942565
4004,770,0,8096.205768
4005,666,0,8782.676591
4006,584,1,10249.75311
4007,584,1,14328.30397
4008,584,1,15961.87626
4009,859,0,10022.98338
4010,770,1,10900.65735
4011,584,1,7165.090704
4012,695,0,7842.804388
4013,666,0,9042.961232
4014,584,1,12437.18279
4015,859,0,12853.77109
4016,770,1,11902.56296
4017,770,1,11578.69386
4018,584,1,11154.66746
4019,770,0,10830.04858
4020,859,1,13913.24425
4021,584,1,13333.81934
4022,584,1,11809.99576
4023,695,1,11359.80596
4024,695,0,8922.795536
4025,584,1,9970.229047
4026,584,1,9227.63167
4027,584,1,13633.71949
4028,584,1,14148.18661
4029,584,1,12879.13387
4030,695,1,11922.01011
4031,584,1,12103.67277
4032,695,1,13404.8049
4033,584,1,9346.623132
4034,666,0,9532.060257
4035,666,1,15158.27571
4036,584,1,11344.18426
4037,666,1,9982.108178
4038,695,0,9348.418554
4039,770,0,9381.197344
4040,666,1,12549.18065
